Parameter,Median,HDI,% in ROPE,MPE,Rhat,ESS
Intercept,5.09,"[3.10, 8.69]",0.00,1.00,1.00,373
about DP,-1.58,"[-5.27, 0.88]",0.06,0.89,1.00,431
to VP,-4.07,"[-7.63, -1.95]",0.00,1.00,1.00,372
that S,-2.38,"[-5.91, -0.04]",0.01,0.98,1.00,390
about gerund,-1.01,"[-4.62, 1.82]",0.08,0.75,1.00,471
of DP because S,-2.90,"[-6.37, -0.74]",0.00,1.00,1.00,379
animate,-2.42,"[-6.06, 0.01]",0.02,0.97,1.00,394
lexical,0.01,"[-4.02, 3.89]",0.09,0.50,1.00,403
about DP:animate,-0.51,"[-3.33, 3.18]",0.08,0.62,1.00,446
to VP: animate,-0.86,"[-3.65, 2.85]",0.07,0.70,1.00,431
that S: animate,1.47,"[-1.32, 5.24]",0.06,0.85,1.00,435
about gerund:animate,-0.32,"[-3.52, 3.50]",0.09,0.57,1.00,502
of DP because S: animate,-1.51,"[-4.33, 2.20]",0.06,0.82,1.00,430
about DP:lexical,-1.56,"[-5.68, 2.66]",0.05,0.80,1.00,458
to VP:lexical,-0.76,"[-4.83, 3.27]",0.08,0.67,1.00,412
that S:lexical,2.44,"[-2.24, 7.54]",0.03,0.86,1.00,522
about gerund:lexical,1.12,"[-3.64, 6.35]",0.05,0.67,1.00,535
of DP because S:lexical,0.87,"[-3.22, 4.96]",0.07,0.67,1.00,422
animate:lexical,0.30,"[-4.03, 4.69]",0.08,0.56,1.00,441
about DP:animate:lexical,1.44,"[-3.35, 6.11]",0.05,0.73,1.00,489
to VP:animate:lexical,0.64,"[-3.80, 5.35]",0.06,0.61,1.00,475
that S:animate:lexical,-3.08,"[-8.34, 1.93]",0.03,0.89,1.00,564
about gerund:animate:lexical,0.78,"[-4.93, 6.00]",0.05,0.61,1.00,640
of DP because S:animate:lexical,2.18,"[-2.54, 6.95]",0.04,0.84,1.00,488
